name,ind,movement,genre,date,detail,picture,,
"Impression, soleil levant",Claude Monet,Impressionisme,,1872,,"claude-monet---impression,-soleil-levant",link,"https://www.google.fr/search?q=Impression,+soleil+levant+Claude+Monet"
Répétition d'un ballet sur la scène,Edgar Degas,Impressionisme,Peinture historique,1873,,edgar-degas---répétition-d'un-ballet-sur-la-scène,link,https://www.google.fr/search?q=Répétition+d'un+ballet+sur+la+scène+Edgar+Degas
La classe de danse,Edgar Degas,Impressionisme,Peinture historique,1874,,edgar-degas---la-classe-de-danse,link,https://www.google.fr/search?q=La+classe+de+danse+Edgar+Degas
Argenteuil,Édouard Manet,Impressionisme,Peinture historique,1874,,édouard-manet---argenteuil,link,https://www.google.fr/search?q=Argenteuil+Édouard+Manet
L'Inondation à Port-Marly,Alfred Sisley,Impressionisme,Peinture historique,1876,,alfred-sisley---l'inondation-à-port-marly,link,https://www.google.fr/search?q=L'Inondation+à+Port-Marly+Alfred+Sisley
"La Place du Chenil à Marly, effet de neige",Alfred Sisley,Impressionisme,Peinture historique,1876,,"alfred-sisley---la-place-du-chenil-à-marly,-effet-de-neige",link,"https://www.google.fr/search?q=La+Place+du+Chenil+à+Marly,+effet+de+neige+Alfred+Sisley"
L'Absinthe,Edgar Degas,Impressionisme,Peinture historique,1876,,edgar-degas---l'absinthe,link,https://www.google.fr/search?q=L'Absinthe+Edgar+Degas
bal du moulin de la galette,Pierre-Auguste Renoir,Impressionisme,Peinture historique,1876,,pierre-auguste-renoir---bal-du-moulin-de-la-galette,link,https://www.google.fr/search?q=bal+du+moulin+de+la+galette+Pierre-Auguste+Renoir
La gare Saint-Lazare,Claude Monet,Impressionisme,,1877,,claude-monet---la-gare-saint-lazare,link,https://www.google.fr/search?q=La+gare+Saint-Lazare+Claude+Monet
rue de paris temps de pluie,Gustave Caillebotte,Impressionisme,,1877,,gustave-caillebotte---rue-de-paris-temps-de-pluie,link,https://www.google.fr/search?q=rue+de+paris+temps+de+pluie+Gustave+Caillebotte
Le Déjeuner des canotiers,Pierre-Auguste Renoir,Impressionisme,Peinture historique,1881,,pierre-auguste-renoir---le-déjeuner-des-canotiers,link,https://www.google.fr/search?q=Le+Déjeuner+des+canotiers+Pierre-Auguste+Renoir
"Boulevard Montmartre, Effet de nuit",Camille Pissarro,Impressionisme,,1897,,"camille-pissarro---boulevard-montmartre,-effet-de-nuit",link,"https://www.google.fr/search?q=Boulevard+Montmartre,+Effet+de+nuit+Camille+Pissarro"
Les Meules,Claude Monet,Impressionnisme,,1891,,claude-monet---les-meules,link,https://www.google.fr/search?q=Les+Meules+Claude+Monet
DSW,Charles Eames,Modern,,1950,,charles-eames---dsw,link,https://www.google.fr/search?q=DSW+Charles+Eames
Lounge Chair,Charles Eames,Modern,,1956,,charles-eames---lounge-chair,link,https://www.google.fr/search?q=Lounge+Chair+Charles+Eames
Poison Oasis,Jean-Michel Basquiat,Neo-expressionisme,Art Abstrait,1981,,jean-michel-basquiat---poison-oasis,link,https://www.google.fr/search?q=Poison+Oasis+Jean-Michel+Basquiat
Ignorance = Fear,Keith Haring,Neo-expressionisme,Street Art,1989,,keith-haring---ignorance-=-fear,link,https://www.google.fr/search?q=Ignorance+=+Fear+Keith+Haring
Chrysler Building - NYC,William Van Alen,Neogothic,,1930,,william-van-alen---chrysler-building---nyc,link,https://www.google.fr/search?q=Chrysler+Building+-+NYC+William+Van+Alen
danseuse de flamenco,Sonia Delaunay,Orphisme,,1916,,sonia-delaunay---danseuse-de-flamenco,link,https://www.google.fr/search?q=danseuse+de+flamenco+Sonia+Delaunay
Composition 7,Sonia Delaunay,Orphisme,,1930,,sonia-delaunay---composition-7,link,https://www.google.fr/search?q=Composition+7+Sonia+Delaunay
Problems of Economics and Sociology,Carl Menger,Pointillisme,,1883,,,link,https://www.google.fr/search?q=Problems+of+Economics+and+Sociology+Carl+Menger
Paysannes au travail,Georges Seurat,Pointillisme,,1883,,georges-seurat---paysannes-au-travail,link,https://www.google.fr/search?q=Paysannes+au+travail+Georges+Seurat
